Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	H_1975_1 Spectral Count	H_1975_2 Spectral Count	H_1975_3 Spectral Count	NCI_3784Mel_1 Spectral Count	NCI_3784Mel_2 Spectral Count	NCI_3784Mel_3 Spectral Count	NCI_3784Mel_4 Spectral Count	NCI_3784Mel_5 Spectral Count	NCI_3795Mel_1 Spectral Count	NCI_3795Mel_2 Spectral Count	NCI_3795Mel_3 Spectral Count	NCI_3795Mel_4 Spectral Count	NCI_3795Mel_5 Spectral Count	NCI_RA007_1 Spectral Count	NCI_RA007_2 Spectral Count	NCI_RA007_3 Spectral Count	NCI_RA007_4 Spectral Count	NCI_RA007_5 Spectral Count	PC9_epitope_1 Spectral Count	PC9_epitope_2 Spectral Count	PC9_epitope_4 Spectral Count	PC9_epitope_5 Spectral Count	H_1975_1 Unique Spectral Count	H_1975_2 Unique Spectral Count	H_1975_3 Unique Spectral Count	NCI_3784Mel_1 Unique Spectral Count	NCI_3784Mel_2 Unique Spectral Count	NCI_3784Mel_3 Unique Spectral Count	NCI_3784Mel_4 Unique Spectral Count	NCI_3784Mel_5 Unique Spectral Count	NCI_3795Mel_1 Unique Spectral Count	NCI_3795Mel_2 Unique Spectral Count	NCI_3795Mel_3 Unique Spectral Count	NCI_3795Mel_4 Unique Spectral Count	NCI_3795Mel_5 Unique Spectral Count	NCI_RA007_1 Unique Spectral Count	NCI_RA007_2 Unique Spectral Count	NCI_RA007_3 Unique Spectral Count	NCI_RA007_4 Unique Spectral Count	NCI_RA007_5 Unique Spectral Count	PC9_epitope_1 Unique Spectral Count	PC9_epitope_2 Unique Spectral Count	PC9_epitope_4 Unique Spectral Count	PC9_epitope_5 Unique Spectral Count	H_1975_1 Total Spectral Count	H_1975_2 Total Spectral Count	H_1975_3 Total Spectral Count	NCI_3784Mel_1 Total Spectral Count	NCI_3784Mel_2 Total Spectral Count	NCI_3784Mel_3 Total Spectral Count	NCI_3784Mel_4 Total Spectral Count	NCI_3784Mel_5 Total Spectral Count	NCI_3795Mel_1 Total Spectral Count	NCI_3795Mel_2 Total Spectral Count	NCI_3795Mel_3 Total Spectral Count	NCI_3795Mel_4 Total Spectral Count	NCI_3795Mel_5 Total Spectral Count	NCI_RA007_1 Total Spectral Count	NCI_RA007_2 Total Spectral Count	NCI_RA007_3 Total Spectral Count	NCI_RA007_4 Total Spectral Count	NCI_RA007_5 Total Spectral Count	PC9_epitope_1 Total Spectral Count	PC9_epitope_2 Total Spectral Count	PC9_epitope_4 Total Spectral Count	PC9_epitope_5 Total Spectral Count	H_1975_1 Intensity	H_1975_2 Intensity	H_1975_3 Intensity	NCI_3784Mel_1 Intensity	NCI_3784Mel_2 Intensity	NCI_3784Mel_3 Intensity	NCI_3784Mel_4 Intensity	NCI_3784Mel_5 Intensity	NCI_3795Mel_1 Intensity	NCI_3795Mel_2 Intensity	NCI_3795Mel_3 Intensity	NCI_3795Mel_4 Intensity	NCI_3795Mel_5 Intensity	NCI_RA007_1 Intensity	NCI_RA007_2 Intensity	NCI_RA007_3 Intensity	NCI_RA007_4 Intensity	NCI_RA007_5 Intensity	PC9_epitope_1 Intensity	PC9_epitope_2 Intensity	PC9_epitope_4 Intensity	PC9_epitope_5 Intensity	H_1975_1 MaxLFQ Intensity	H_1975_2 MaxLFQ Intensity	H_1975_3 MaxLFQ Intensity	NCI_3784Mel_1 MaxLFQ Intensity	NCI_3784Mel_2 MaxLFQ Intensity	NCI_3784Mel_3 MaxLFQ Intensity	NCI_3784Mel_4 MaxLFQ Intensity	NCI_3784Mel_5 MaxLFQ Intensity	NCI_3795Mel_1 MaxLFQ Intensity	NCI_3795Mel_2 MaxLFQ Intensity	NCI_3795Mel_3 MaxLFQ Intensity	NCI_3795Mel_4 MaxLFQ Intensity	NCI_3795Mel_5 MaxLFQ Intensity	NCI_RA007_1 MaxLFQ Intensity	NCI_RA007_2 MaxLFQ Intensity	NCI_RA007_3 MaxLFQ Intensity	NCI_RA007_4 MaxLFQ Intensity	NCI_RA007_5 MaxLFQ Intensity	PC9_epitope_1 MaxLFQ Intensity	PC9_epitope_2 MaxLFQ Intensity	PC9_epitope_4 MaxLFQ Intensity	PC9_epitope_5 MaxLFQ Intensity	Indistinguishable Proteins
sp|O75962|TRIO_HUMAN	O75962	TRIO_HUMAN	TRIO	3097	Homo sapiens OX=9606	1:Experimental evidence at protein level	Triple functional domain protein	1.0	0.999	2	11	11	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	2	4	0.0	0.0	0.0	0.0	0.0	0.0	2967534.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6482021E7	2.1294044E7	1.2774999E7	4.4215692E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1452672E7	1.3381603E7	2.1015332E7	
sp|O75970|MPDZ_HUMAN	O75970	MPDZ_HUMAN	MPDZ	2070	Homo sapiens OX=9606	1:Experimental evidence at protein level	Multiple PDZ domain protein	1.0	0.9975	2	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6788108E7	1.4493013E7	0.0	8782584.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75976|CBPD_HUMAN	O75976	CBPD_HUMAN	CPD	1380	Homo sapiens OX=9606	1:Experimental evidence at protein level	Carboxypeptidase D	0.9983	0.995	1	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6125025.5	4196250.0	0.0	4178816.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O76003|GLRX3_HUMAN	O76003	GLRX3_HUMAN	GLRX3	335	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutaredoxin-3	1.0	0.999	3	5	5	5	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	3859759.0	0.0	0.0	0.0	955659.9	0.0	0.0	434892.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2740465.8	0.0	0.0	0.0	742074.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ribosomal L1 domain-containing protein 1	1.0	0.9989	6	29	29	29	0	0	0	1	1	0	6	1	1	0	1	0	3	0	0	1	1	0	4	2	0	7	0	0	0	1	1	0	6	1	1	0	1	0	3	0	0	1	1	0	4	2	0	7	0	0	0	1	1	0	6	1	1	0	1	0	3	0	0	1	1	0	4	2	0	7	0.0	0.0	0.0	0.0	0.0	0.0	3.8698832E7	2.8109982E7	9033432.0	0.0	3284766.2	0.0	3.36938016E8	0.0	0.0	4597072.5	3376660.8	0.0	2.94672928E8	1.94719E7	0.0	2.6886944E8	0.0	0.0	0.0	0.0	0.0	0.0	3.6095916E7	0.0	0.0	0.0	0.0	0.0	3.21794432E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6393616E8	
sp|O76054|S14L2_HUMAN	O76054	S14L2_HUMAN	SEC14L2	403	Homo sapiens OX=9606	1:Experimental evidence at protein level	SEC14-like protein 2	0.9922	0.999	1	3	3	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1101016.1	1425850.9	1576905.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O76061|STC2_HUMAN	O76061	STC2_HUMAN	STC2	302	Homo sapiens OX=9606	1:Experimental evidence at protein level	Stanniocalcin-2	1.0	0.9987	1	12	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6538936E7	1.457678E7	1.7704418E7	2.3362688E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0872672E7	0.0	1.2719896E7	1.582554E7	
sp|O76075|DFFB_HUMAN	O76075	DFFB_HUMAN	DFFB	338	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA fragmentation factor subunit beta	0.9601	0.9946	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8484914E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O76080|ZFAN5_HUMAN	O76080	ZFAN5_HUMAN	ZFAND5	213	Homo sapiens OX=9606	1:Experimental evidence at protein level	AN1-type zinc finger protein 5	0.9319	0.9905	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4955671.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	Homo sapiens OX=9606	1:Experimental evidence at protein level	Signal recognition particle subunit SRP72	1.0	0.999	4	6	6	6	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	184209.81	8.3579136E7	1.69234368E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8412256E7	0.0	915075.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O77932|DXO_HUMAN	O77932	DXO_HUMAN	DXO	396	Homo sapiens OX=9606	1:Experimental evidence at protein level	Decapping and exoribonuclease protein	0.9978	0.9967	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3189077.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	Homo sapiens OX=9606	1:Experimental evidence at protein level	Metastasis-associated protein MTA2	1.0	0.999	5	16	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	3	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1540536.2	0.0	0.0	0.0	4.3785068E7	3.0718792E7	2.5444092E7	1.8403262E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5426228E7	1.9727454E7	1.0698033E7	1.0378018E7	
sp|O94808|GFPT2_HUMAN	O94808	GFPT2_HUMAN	GFPT2	682	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	1.0	0.9952	4	4	4	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0.0	2.62961E7	8564214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6413167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94822|LTN1_HUMAN	O94822	LTN1_HUMAN	LTN1	1766	Homo sapiens OX=9606	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase listerin	1.0	0.9908	4	6	6	6	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	751634.06	0.0	0.0	0.0	0.0	0.0	4589792.5	2732491.8	0.0	0.0	0.0	0.0	1.0914724E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94832|MYO1D_HUMAN	O94832	MYO1D_HUMAN	MYO1D	1006	Homo sapiens OX=9606	1:Experimental evidence at protein level	Unconventional myosin-Id	1.0	0.9988	2	18	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	3	2	2	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	371321.78	351484.72	1.6530114E7	1.4680527E7	1.0571158E7	6866113.0	5765247.0	2888989.2	5471990.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1257703E7	1.0451772E7	7512650.0	4834515.0	4189151.0	2006892.8	2175591.0	
sp|O94842|TOX4_HUMAN	O94842	TOX4_HUMAN	TOX4	621	Homo sapiens OX=9606	1:Experimental evidence at protein level	TOX high mobility group box family member 4	1.0	0.9978	3	4	4	4	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242380.2	215920.31	1750807.1	0.0	0.0	0.0	777506.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94844|RHBT1_HUMAN	O94844	RHBT1_HUMAN	RHOBTB1	696	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho-related BTB domain-containing protein 1	0.9903	0.9987	1	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	1	1	1	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1009773.1	0.0	1.1352169E7	0.0	4382148.0	3.9371216E7	1.4504891E7	7616621.0	1.6777812E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94864|ST65G_HUMAN	O94864	ST65G_HUMAN	SUPT7L	414	Homo sapiens OX=9606	1:Experimental evidence at protein level	STAGA complex 65 subunit gamma	1.0	0.999	1	12	12	12	1	5	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	5	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	5	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1687299.6	3.348243E7	3.4577976E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1427262.9	0.0	6976099.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73908E7	3.8429996E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94888|UBXN7_HUMAN	O94888	UBXN7_HUMAN	UBXN7	489	Homo sapiens OX=9606	1:Experimental evidence at protein level	UBX domain-containing protein 7	1.0	0.9974	2	13	13	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6663751E7	0.0	0.0	0.0	0.0	0.0	4.0580336E7	1271876.8	1.1025624E7	1.5156536E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2320352E7	0.0	0.0	1.5887436E7	
sp|O94901|SUN1_HUMAN	O94901	SUN1_HUMAN	SUN1	812	Homo sapiens OX=9606	1:Experimental evidence at protein level	SUN domain-containing protein 1	0.9924	0.999	1	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8914939.0	2097390.8	1630788.1	4450967.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94906|PRP6_HUMAN	O94906	PRP6_HUMAN	PRPF6	941	Homo sapiens OX=9606	1:Experimental evidence at protein level	Pre-mRNA-processing factor 6	1.0	0.9969	6	12	12	12	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	4	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	4	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	1	4	0.0	1883688.1	2399181.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8085884.0	0.0	0.0	0.0	0.0	0.0	4541976.0	5397314.5	1552632.4	9853654.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3355505.8	0.0	4263042.0	
sp|O94907|DKK1_HUMAN	O94907	DKK1_HUMAN	DKK1	266	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dickkopf-related protein 1	1.0	0.9918	2	13	13	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7868503.5	0.0	0.0	0.0	0.0	0.0	2.26251984E8	1.55187872E8	7346919.0	2.49549664E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06658864E8	2.0369056E8	0.0	1.6768184E8	
sp|O94916|NFAT5_HUMAN	O94916	NFAT5_HUMAN	NFAT5	1531	Homo sapiens OX=9606	1:Experimental evidence at protein level	Nuclear factor of activated T-cells 5	1.0	0.9969	2	3	3	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	736287.44	963278.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3316553.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94925|GLSK_HUMAN	O94925	GLSK_HUMAN	GLS	669	Homo sapiens OX=9606	1:Experimental evidence at protein level	Glutaminase kidney isoform, mitochondrial	1.0	0.999	4	5	5	5	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	281290.25	0.0	0.0	0.0	0.0	0.0	1839876.0	0.0	0.0	0.0	2137627.8	0.0	0.0	969662.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94929|ABLM3_HUMAN	O94929	ABLM3_HUMAN	ABLIM3	683	Homo sapiens OX=9606	1:Experimental evidence at protein level	Actin-binding LIM protein 3	1.0	0.999	3	9	9	9	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1378536.6	1.4686743E7	3.603268E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2521430.8	0.0	1459978.0	2247177.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94952|FBX21_HUMAN	O94952	FBX21_HUMAN	FBXO21	628	Homo sapiens OX=9606	2:Experimental evidence at transcript level	F-box only protein 21	1.0	0.9986	6	16	16	16	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	3	6	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	3	6	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	3	6	0.0	925830.06	0.0	0.0	0.0	0.0	958237.4	978310.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8819702.0	2766227.2	3976839.5	6949769.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4340845.5	0.0	2707494.0	2116784.0	
sp|O94955|RHBT3_HUMAN	O94955	RHBT3_HUMAN	RHOBTB3	611	Homo sapiens OX=9606	1:Experimental evidence at protein level	Rho-related BTB domain-containing protein 3	1.0	0.999	10	33	33	33	1	6	3	2	1	1	4	2	0	0	0	0	1	0	0	0	0	0	3	2	3	4	1	6	3	2	1	1	4	2	0	0	0	0	1	0	0	0	0	0	3	2	3	4	1	6	3	2	1	1	4	2	0	0	0	0	1	0	0	0	0	0	3	2	3	4	1442418.5	1.9354948E7	1.1637685E7	898530.5	1613286.9	2636750.8	1.6606722E7	6157647.5	0.0	0.0	0.0	0.0	2.2601032E7	0.0	0.0	0.0	0.0	0.0	2.9006786E7	6375703.0	6252000.5	9492409.0	0.0	1.5586713E7	6873369.0	0.0	0.0	0.0	3.073117E7	1.3623173E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8291210.0	4828376.5	3317522.2	5842699.0	
