Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
P30520	P30520;Q8N142	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	1.20479e+06	1.04262e+06	1.28532e+06	1.09837e+06	953664	922769	917315	1.20751e+06	1.08589e+06	953098	1.04429e+06	1.09837e+06
P30530	P30530	UFO_HUMAN	AXL	Tyrosine-protein kinase receptor UFO	520103	353656	383796	391367	357196	313714	293552	545494	296974	305643	330827	462851
P30533	P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	1.36369e+06	1.26952e+06	883424	1.45053e+06	968345	1.25074e+06	988858	839301	1.05051e+06	1.0079e+06	1.27364e+06	978528
P30566	P30566;A0A1B0GWJ0;A0A0A6YY92;A0A1B0GTJ7;A0A096LNY6;A0A096LPA2;A0A1B0GTG9;A0A1B0GWF8	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	669948	318290	687215	303502	365840	297767	230418	386223	301109	277247	220782	427366
P30622	P30622;F5H6A0;F5H1T5;J3KP58	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	925220	1.01407e+06	957802	969946	936011	954544	957354	933804	980895	1.01673e+06	1.04218e+06	903325
P30626	P30626;C9J0K6	SORCN_HUMAN	SRI	Sorcin	135238	175532	88671.5	84317.2	166938	176563	227529	114715	152438	200775	153640	143503
P30711	P30711;A0A0G2JRQ5	GSTT1_HUMAN	GSTT1	Glutathione S-transferase theta-1		25672	53269.3	28670.6		23825					26815.3	
P30740	P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	633073	666681	518537	474412	584235	458524	443276	700858	745508	682490	725128	685821
P30825	P30825;Q5JR49	CTR1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	570961	342846	546840	1.05522e+06	995970	998642	1.06785e+06	1.52861e+06	872091	940892	960896	1.27843e+06
P30837	P30837	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	829144	1.13145e+06	780508	1.61155e+06	1.67965e+06	1.60242e+06	1.59154e+06	722134	1.21999e+06	1.18162e+06	1.25746e+06	845688
P30876	P30876;C9J2Y9;C9J4M6;A0A1W2PPT5	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	545744	395036	476339	460260	445082	437377	428200	564462	469579	441486	452580	580961
P31040	P31040;D6RFM5;A0A087X1I3	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	2.53004e+06	2.73279e+06	2.71655e+06	3.24232e+06	2.73851e+06	3.10705e+06	2.64214e+06	2.50634e+06	2.77915e+06	2.53603e+06	2.70436e+06	2.87148e+06
P31146	P31146;H3BRY3	COR1A_HUMAN	CORO1A	Coronin-1A	49802.9	114521	158456	364110	242471	125023	23317.7	38459.2	38969.2	29762.6	135597	110746
P31150	P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	1.79998e+06	2.92516e+06	1.78512e+06	3.44018e+06	2.91578e+06	3.21164e+06	3.04744e+06	1.88506e+06	3.03943e+06	3.51028e+06	3.27445e+06	2.02587e+06
P31151	Q86SG5;P31151	S10A7_HUMAN	S100A7	Protein S100-A7			105179								24648.4	
P31153	P31153	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	4.36854e+06	2.85956e+06	4.15322e+06	4.48026e+06	4.43414e+06	3.91933e+06	4.82035e+06	5.01927e+06	3.9038e+06	4.08055e+06	4.35421e+06	5.12059e+06
P31321	P31321;H7BYW5;C9JSK5	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit		88195.3	79933.9			61413.9		68982.4				62945.5
P31327	P31327;Q5R211;E7EWJ3	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	74658	68496.1	50931.4	56522.4	72120.9	54815	54481	68918.1	45043.9	41964.3	37711	57726.9
P31350	P31350;A0A286YFD6	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	137993		112896					132413				149279
P31431	P31431	SDC4_HUMAN	SDC4	Syndecan-4	175520	210612	192205	151212	184587	137660	136783	150484	165965	195215	194146	180200
P31483	P31483;E5RGV5;F8W8I6;E5RG67	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40			5383.4	9548.32								
P31629	P31629	ZEP2_HUMAN	HIVEP2	Transcription factor HIVEP2	99342.6	49908.4	36619.6	52894.3	39692.1	70452.3		35227.9	83342.8			43661.2
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	359745	339691	262732	394434	356913	354509	361474	334719	371990	359929	333363	386418
P31749	P31749	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	511225	306639	588716	411212	317851	362229	337948	300537	384011	344165	363861	277253
P31751	P31751	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	57644.3	55815.2	33912.7	68482.9	45973.7	42133.2	57137.6	52925.5	72231.2	60731.1	63787.5	54378
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	848434	881344	730325	1.10479e+06	923797	919079	1.16336e+06	709996	1.13416e+06	1.17276e+06	1.05674e+06	781591
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	2.10024e+06	2.60981e+06	2.03747e+06	2.54637e+06	2.45655e+06	2.66539e+06	2.77782e+06	2.27072e+06	2.36274e+06	2.48707e+06	2.54522e+06	2.37793e+06
P31939	P31939;C9JLK0	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein PURH	6.68919e+06	5.20894e+06	5.55932e+06	6.40071e+06	6.22181e+06	6.05748e+06	5.96385e+06	6.05777e+06	5.57659e+06	5.70243e+06	5.83656e+06	6.90637e+06
P31942	P31942	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	4.54385e+06	1.94593e+06	4.31049e+06	1.94236e+06	2.59916e+06	2.13981e+06	1.68252e+06	4.77215e+06	2.65917e+06	2.49666e+06	2.89061e+06	4.75792e+06
P31943	P55795;P31943;E5RGV0;D6RBM0;E5RGH4;G8JLB6;E7EN40;H0YB39;D6RIU0;E9PCY7	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.17628e+06	986642	1.23846e+06	1.3544e+06	1.19629e+06	1.09925e+06	1.04809e+06	1.68061e+06	1.23142e+06	1.40245e+06	1.29926e+06	1.71953e+06
P31946	P31946	1433B_HUMAN	YWHAB	14-3-3 protein beta/alpha	560806	822443	554862	829359	950589	771482	923061	564980	815046	953022	965602	670719
P31947	P31947	1433S_HUMAN	SFN	14-3-3 protein sigma	5.12801e+06	5.56803e+06	3.84017e+06	5.0647e+06	4.68421e+06	4.26688e+06	5.0279e+06	6.6326e+06	5.52981e+06	5.32907e+06	5.22862e+06	6.70787e+06
P31948	P31948	STIP1_HUMAN	STIP1	Stress-induced-phosphoprotein 1	7.46448e+06	7.14413e+06	8.80235e+06	7.74435e+06	8.02026e+06	7.34776e+06	7.76045e+06	8.77325e+06	7.94647e+06	8.48192e+06	8.13269e+06	8.84373e+06
P31949	P31949	S10AB_HUMAN	S100A11	Protein S100-A11	7.06773e+06	1.10995e+07	7.01266e+06	1.19995e+07	1.2908e+07	1.22404e+07	1.16518e+07	7.72761e+06	1.09136e+07	1.16444e+07	1.25368e+07	7.85332e+06
P32004	P32004	L1CAM_HUMAN	L1CAM	Neural cell adhesion molecule L1	1.1059e+06	799682	1.02561e+06	992291	1.00669e+06	1.02324e+06	1.12005e+06	730778	893787	907908	999834	844209
P32019	P32019	I5P2_HUMAN	INPP5B	Type II inositol 1,4,5-trisphosphate 5-phosphatase	48778.6	32625.2	39700.9		32166.1		22466.3	46409.3	32419.4	30388.7		54765.7
P32119	P32119	PRDX2_HUMAN	PRDX2	Peroxiredoxin-2	3.83897e+06	5.24691e+06	4.2981e+06	4.48514e+06	4.78734e+06	5.36386e+06	4.88003e+06	3.6589e+06	4.32313e+06	4.62259e+06	4.62992e+06	3.64956e+06
P32238	P32238	CCKAR_HUMAN	CCKAR	Cholecystokinin receptor type A						18790.7						26444.9
P32322	P32322;E2QRB3	P5CR1_HUMAN	PYCR1	Pyrroline-5-carboxylate reductase 1, mitochondrial	947221	885064	796322	1.24561e+06	1.15201e+06	864472	841394	1.06113e+06	779357	799232	719617	1.11771e+06
P32455	P32455;Q9H0R5;H3BNS1	GBP1_HUMAN	GBP1	Guanylate-binding protein 1	418243	357896	384139	400676	319653	328810	345772	365703	329527	308490	309864	359254
P32456	P32456	GBP2_HUMAN	GBP2	Guanylate-binding protein 2	207465	321061	74452.1	217371	210826	220246	191321	201118	292485	277737	221676	204760
P32519	P32519;A0A0U1RRL5	ELF1_HUMAN	ELF1	ETS-related transcription factor Elf-1	189126	178008	149622	136681	174461	166739	146993	282379	146887	158316	175807	228765
P32780	P32780	TF2H1_HUMAN	GTF2H1	General transcription factor IIH subunit 1	269286	170352	332456	292971	329161	306180	338611	388867	343166	324891	318018	312672
P32856	P32856;J3KNU7	STX2_HUMAN	STX2	Syntaxin-2	30858.3	26469.2	34991	32295.5	34732	58955.4	48562.5	45160.9	40037.4	18739.9	34546.4	45333.8
P32929	P32929	CGL_HUMAN	CTH	Cystathionine gamma-lyase	355800	264004	343813	302186	283170	292341	252112	442088	219638	193370	270621	423823
P32969	P32969;H0Y9R4;A0A2R8Y5Y7;D6RAN4;H0Y9V9	RL9_HUMAN	RPL9	60S ribosomal protein L9	445293	318441	585770	237778	204365	243572	169477	384489	255744	286840	230450	195830
P32970	P32970	CD70_HUMAN	CD70	CD70 antigen	304429	212746	383771	247260	245632	275802	265771	339855	194842	196654	216491	357422
P33121	P33121;H0Y9Z9;D6RER0;B7Z3Z9;E7EPM6	ACSL1_HUMAN	ACSL1	Long-chain-fatty-acid--CoA ligase 1	1.41045e+06	1.34546e+06	1.3854e+06	1.3478e+06	1.28231e+06	1.13373e+06	1.2115e+06	1.12084e+06	1.33798e+06	1.37968e+06	1.31773e+06	1.29411e+06
P33176	O60282;Q12840;P33176;A0A0G2JMZ6	KINH_HUMAN	KIF5B	Kinesin-1 heavy chain	2.63393e+06	2.84376e+06	2.51432e+06	2.93902e+06	2.89094e+06	2.6586e+06	2.68841e+06	2.60475e+06	2.68828e+06	2.88976e+06	2.975e+06	2.62881e+06
P33240	P33240;A0A0A0MT56;E9PID8;E7EWR4	CSTF2_HUMAN	CSTF2	Cleavage stimulation factor subunit 2	2.08419e+06	1.99147e+06	1.5498e+06	2.07609e+06	2.13813e+06	1.8283e+06	1.89451e+06	2.58705e+06	1.99085e+06	1.86027e+06	1.89454e+06	2.61985e+06
P33316	P33316;H0YNJ9;H0YKC5;H0YKI0;H0YMM5;H0YMP1;H0YNW5;A0A0C4DGL3	DUT_HUMAN	DUT	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	669580	524060	727749	498667	540955	519448	570216	777382	327375	498600	454649	742191
P33527	P33527;A0A0A0MS99;I3L4X2	MRP1_HUMAN	ABCC1	Multidrug resistance-associated protein 1	468264	570104	450909	537346	577577	527838	547402	525758	494450	539320	555573	491469
P33897	P33897	ABCD1_HUMAN	ABCD1	ATP-binding cassette sub-family D member 1	110286	143567	83606	146875	147900	150086	130005	110904	161486	144145	200224	76681.9
P33908	P33908	MA1A1_HUMAN	MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	289748	168587						281596				267963
P33947	P33947	ERD22_HUMAN	KDELR2	ER lumen protein-retaining receptor 2			81446.8	19773.4		9530.86					41733.6	
P33981	P33981	TTK_HUMAN	TTK	Dual specificity protein kinase TTK	25705.1							61545.5				66261.3
P33991	P33991;A0A3B3IS57;E5RG31;A0A3B3IT92;A0A3B3IU45;A0A3B3ITP6	MCM4_HUMAN	MCM4	DNA replication licensing factor MCM4	1.20789e+06	80330	1.39203e+06	144126	150110	151453	132192	1.17502e+06	93528.1	103963	103309	1.47073e+06
P33992	P33992;B1AHB2;B1AHB1	MCM5_HUMAN	MCM5	DNA replication licensing factor MCM5	869046	60534.5	741156	88947.8	73016.1	87973.1	57788.2	1.00287e+06	31533.4	63273.8	57128	968655
P33993	P33993	MCM7_HUMAN	MCM7	DNA replication licensing factor MCM7	1.51554e+06	149889	1.80789e+06	176358	153242	177216	185801	1.80078e+06	137177	126654	125319	1.65489e+06
P34059	P34059	GALNS_HUMAN	GALNS	N-acetylgalactosamine-6-sulfatase	113516	170454	113884	140167	163761	149377	143340	103566	171291	177862	182382	123173
P34896	P34896;J3KRK5;J3KRZ5	GLYC_HUMAN	SHMT1	Serine hydroxymethyltransferase, cytosolic	209950		233283	197335	208433	217523	142190	443851	227848	189633		362195
P34897	P34897;H0YIZ0	GLYM_HUMAN	SHMT2	Serine hydroxymethyltransferase, mitochondrial	6.52113e+06	4.62921e+06	5.61877e+06	6.9562e+06	6.5002e+06	6.70296e+06	5.93896e+06	5.57947e+06	5.1231e+06	4.76916e+06	5.5704e+06	7.30019e+06
P34913	P34913;E5RFU2	HYES_HUMAN	EPHX2	Bifunctional epoxide hydrolase 2				34714.5	32581.4	36300.5	21210.2		28964.5	33309.9	31189.1	
P34931	P34931;Q53FA3	HS71L_HUMAN	HSPA1L	Heat shock 70 kDa protein 1-like	2.26261e+06	2.27569e+06	1.80308e+06	3.07123e+06	2.67282e+06	2.58659e+06	3.16909e+06	2.34587e+06	3.10919e+06	2.96513e+06	2.81978e+06	2.20164e+06
P34932	P34932;A0A087WYC1	HSP74_HUMAN	HSPA4	Heat shock 70 kDa protein 4	2.97495e+06	3.24954e+06	3.60008e+06	3.98221e+06	3.88918e+06	3.64471e+06	3.91585e+06	3.41896e+06	3.63374e+06	3.62897e+06	3.96602e+06	3.48001e+06
P34949	P34949;H3BPB8;H3BP57;H3BUZ9;H3BPP3;H3BNY8;H3BT48;H3BQX0;H3BMZ9;H3BPM5;H3BPU7;F5GX71;H3BN01;B4DYB8;H3BT46	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	338408	537453	378962	421654	433554	393625	385867	351544	435003	440669	425921	306045
P35052	P35052;C9J4Y6;H7C024;H7BZE9;H7C410	GPC1_HUMAN	GPC1	Glypican-1		147526	90885.3	102674	113745	104786	114033	82509.2	130371	140824	106972	67814.6
P35080	P35080;C9J0J7;G5E9Q6;C9JQ45;C9J712	PROF2_HUMAN	PFN2	Profilin-2	95370.4	74317.5	93612.3	54905.6	78031.5	49665.2	64626.6	56733.1	83597.7	81903.6	68640.2	36698.2
P35221	P35221;P26232;G3XAM7;A0A0A0MRI5;A0A0A0MTJ6	CTNA1_HUMAN	CTNNA1	Catenin alpha-1	4.4351e+06	3.96217e+06	4.49847e+06	3.81351e+06	3.95952e+06	3.77213e+06	3.74613e+06	4.01682e+06	3.4829e+06	3.59624e+06	3.51941e+06	4.12825e+06
P35222	P35222;A0A2R8Y804;A0A2R8Y543;B4DGU4;A0A2R8Y5C3;A0A2R8Y5A3;A0A2R8Y5Z1;A0A2R8Y750;A0A2R8YCH5;A0A2R8Y6G0	CTNB1_HUMAN	CTNNB1	Catenin beta-1	461422	417635	439143	460530	495121	500384	480175	552928	486666	493227	460068	533472
P35232	P35232	PHB_HUMAN	PHB	Prohibitin	5.72628e+06	8.62698e+06	5.81698e+06	9.98841e+06	9.7675e+06	1.00825e+07	1.0539e+07	7.40427e+06	9.32756e+06	9.19968e+06	9.88624e+06	7.82429e+06
P35237	P35237;A0A024QZX5;A0A2R8YD12;A0A087X1N8	SPB6_HUMAN	SERPINB6	Serpin B6	1.91913e+06	929292	1.93747e+06	405607	249449	662994	284149	1.97556e+06	757397	507543	268184	2.34402e+06
P35240	P35240	MERL_HUMAN	NF2	Merlin	155695	320134	208987	323855	315716	304486	292681	218100	368028	359362	322717	242644
P35241	P35241;A0A2R8Y4H6;A0A2R8Y5S7	RADI_HUMAN	RDX	Radixin	2.9159e+06	2.75179e+06	2.84105e+06	2.77275e+06	3.0162e+06	2.62095e+06	2.5978e+06	3.09993e+06	2.8169e+06	2.69046e+06	2.93876e+06	3.02204e+06
P35244	P35244;B5MC59	RFA3_HUMAN	RPA3	Replication protein A 14 kDa subunit	108685	22704.6	99983.1					27903.3				21683.1
P35249	P35249;H7C1P0	RFC4_HUMAN	RFC4	Replication factor C subunit 4	78148.8	41440.2	143000	52388.6	49496.8	51897.2	49959.2	92270.6	40157	49435	44324.7	114303
P35250	P35250;A0A087WVY3	RFC2_HUMAN	RFC2	Replication factor C subunit 2	545345	234182	527112	210953	224394	215104	205620	602896	213743	190241	176715	575388
P35251	P35251;A0A1W2PP02	RFC1_HUMAN	RFC1	Replication factor C subunit 1	134962	47301.2	151876	39846.5	42559.8	38587.1	35866.6	105505	37607.8	35856	36340.4	79520.7
P35268	P35268;K7EP65;K7EJT5;K7EMH1;K7ERI7;K7ELC4;K7EKS7	RL22_HUMAN	RPL22	60S ribosomal protein L22	5.3983e+06	5.18537e+06	6.19208e+06	5.7365e+06	5.58736e+06	6.20233e+06	5.2123e+06	5.9221e+06	4.83262e+06	5.40356e+06	6.07403e+06	6.11584e+06
P35269	P35269;M0R0R9;M0QXD6	T2FA_HUMAN	GTF2F1	General transcription factor IIF subunit 1	901066	946881	946686	728420	765982	756244	763535	971483	794883	777124	793516	825013
P35270	P35270	SPRE_HUMAN	SPR	Sepiapterin reductase	1.01495e+06	1.19303e+06	1.01023e+06	1.01083e+06	1.15609e+06	1.10845e+06	1.14083e+06	856049	1.13535e+06	1.2243e+06	1.19718e+06	852024
P35442	P35442;A0A3B3ITK0	TSP2_HUMAN	THBS2	Thrombospondin-2					23818.5							
P35475	P35475;D6R9D5	IDUA_HUMAN	IDUA	Alpha-L-iduronidase	68266.8	228674		243298	192193	253792	255620	62921.6	216173	203911	207629	
P35527	P35527	K1C9_HUMAN	KRT9	Keratin, type I cytoskeletal 9	88126.6	43845.8	234495	65434.1	22401.8	60962.7	206132	205006	60756.6	96961.5	71846	56692.4
P35568	P35568	IRS1_HUMAN	IRS1	Insulin receptor substrate 1	190177	98354	101107	88859.6	86765.8	100251	98078.4	183257	112711	109481	106645	165817
P35573	P35573	GDE_HUMAN	AGL	Glycogen debranching enzyme	722878	782549	705771	752536	745309	719020	734666	704029	727239	698469	706218	701172
P35579	P35579;Q5BKV1;B1AH99	MYH9_HUMAN	MYH9	Myosin-9	1.9658e+07	2.27416e+07	2.18881e+07	2.73442e+07	2.60675e+07	2.50078e+07	2.5676e+07	1.97024e+07	2.37724e+07	2.32386e+07	2.41089e+07	2.01296e+07
P35580	P35580;Q7Z406;M0QY43	MYH10_HUMAN	MYH10	Myosin-10	1.69e+06	1.82111e+06	1.57339e+06	1.88962e+06	1.85931e+06	1.82766e+06	1.83715e+06	1.70911e+06	1.77414e+06	1.75285e+06	1.80397e+06	1.66423e+06
P35606	P35606	COPB2_HUMAN	COPB2	Coatomer subunit beta'	2.02935e+06	2.43796e+06	1.98664e+06	2.37139e+06	2.51837e+06	2.2393e+06	2.34674e+06	2.136e+06	2.20519e+06	2.16524e+06	2.28248e+06	2.20236e+06
P35609	P35609;A0A494C1A0;F6THM6	ACTN2_HUMAN	ACTN2	Alpha-actinin-2	49175.6	33083.4	47282.7	60608.7	48546.9	53938.1	43269.7	35666	41354.3	41394	55905.9	29300.8
P35610	P35610	SOAT1_HUMAN	SOAT1	Sterol O-acyltransferase 1	184047	181353	234760	114205	118421	103950	113337	142666	128624	100441	148317	120582
P35611	P35611;D6RF25;E7ENY0;E7EV99;D6RAH3;D6RJE2;A0A0A0MSR2	ADDA_HUMAN	ADD1	Alpha-adducin	666413	531002	700722	410753	455150	410201	391480	673717	472955	477691	516755	631099
P35613	P35613;R4GN83;A0A087X2B5;I3L192;A0A087WUV8;R4GMX5	BASI_HUMAN	BSG	Basigin	2.22433e+06	2.26625e+06	2.30317e+06	1.94827e+06	1.94841e+06	1.91939e+06	1.76386e+06	2.38211e+06	2.34052e+06	2.0628e+06	1.77259e+06	2.28164e+06
P35637	P35637;H3BPE7	FUS_HUMAN	FUS	RNA-binding protein FUS	6.72027e+06	3.98301e+06	6.94023e+06	5.1522e+06	4.42845e+06	4.15008e+06	4.30619e+06	7.78501e+06	4.09666e+06	4.09764e+06	4.05927e+06	7.33139e+06
P35658	P35658;A0A494BZU9;A0A494C1F2	NU214_HUMAN	NUP214	Nuclear pore complex protein Nup214	670879	665122	665035	547635	699127	574384	592950	669491	639299	620851	638407	686731
P35659	P35659;H0Y993;A0A494C028;A0A494C198;B4DFG0	DEK_HUMAN	DEK	Protein DEK	2.17987e+06	1.40961e+06	2.25123e+06	1.62137e+06	1.41002e+06	1.2553e+06	1.43897e+06	2.21191e+06	1.5529e+06	1.33988e+06	1.30809e+06	2.26682e+06
P35670	P35670;Q04656;B7ZLR4;F5H562;E7ET55;F5H748	ATP7B_HUMAN	ATP7B	Copper-transporting ATPase 2	21563.1		41703.4	43386.9	44927.6	48442.2			51177.6	47619.8	29618.5	
P35680	P35680;A0A087WZC2;E0YMJ8;A0A0C4DGS8	HNF1B_HUMAN	HNF1B	Hepatocyte nuclear factor 1-beta	727077	453309	593987	424776	521537	422453	442690	829031	422431	509388	517306	902026
P35749	P35749	MYH11_HUMAN	MYH11	Myosin-11			395121		75162.9		81125.9		287624		79028.6	
P35754	P35754	GLRX1_HUMAN	GLRX	Glutaredoxin-1	647990	4.65684e+06	499405	4.09533e+06	3.51809e+06	4.24036e+06	4.63498e+06	3.05185e+06	4.14289e+06	3.93627e+06	3.47607e+06	2.73189e+06
P35790	P35790	CHKA_HUMAN	CHKA	Choline kinase alpha	133110	97918	124907	84853.8	95964.1	96456.2	84905.2	143007	64570.9	90779.3	83390.5	128507
P35813	P35813	PPM1A_HUMAN	PPM1A	Protein phosphatase 1A		414453	508552	490368	424824	395619	444936	446459	427097	414637	443619	522855
P35869	P35869;A0A1B0GVI7;A0A2R8Y7G1	AHR_HUMAN	AHR	Aryl hydrocarbon receptor		49422.9		51065.4	48172.4	31914.5	42073.9	40413.4	28556.9	41992.5	48570.1	60948.4
P35908	P35908	K22E_HUMAN	KRT2	Keratin, type II cytoskeletal 2 epidermal	152518	125018	292848	336308	112596	219242	343595	584660	632189	204310	666100	221011
P35914	P35914	HMGCL_HUMAN	HMGCL	Hydroxymethylglutaryl-CoA lyase, mitochondrial	256713	183223	215773	288196	233479	233226	279567	189095	246173	254653	322648	154466
P35998	P35998	PRS7_HUMAN	PSMC2	26S proteasome regulatory subunit 7	3.9495e+06	4.09996e+06	4.64072e+06	4.28798e+06	4.27421e+06	4.03432e+06	4.19345e+06	4.17372e+06	4.33073e+06	4.55597e+06	4.326e+06	4.27004e+06
P36404	P36404	ARL2_HUMAN	ARL2	ADP-ribosylation factor-like protein 2	63820	60874.9	76795.1	44062.9	54624.9	41742.9	39591.4	85349.9	48522.8	59417	55214	55801.9
P36405	P36405	ARL3_HUMAN	ARL3	ADP-ribosylation factor-like protein 3	560095	631115	129870	558996	520607	462794	384653	603915	582796	643025	582648	569787
P36406	P36406	TRI23_HUMAN	TRIM23	E3 ubiquitin-protein ligase TRIM23					74530.3	167049	256411		223518	286919	160344	113167
P36507	P36507;M0R1B6;A0A1B0GUL7;G5E9C7	MP2K2_HUMAN	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2	328356	230599	217180	204701	276440	232689	185792	235700	187639	268700	235199	232675
P36542	P36542	ATPG_HUMAN	ATP5F1C	ATP synthase subunit gamma, mitochondrial	2.32997e+06	2.97153e+06	1.16247e+06	3.38845e+06	3.96636e+06	3.71825e+06	3.93195e+06	2.95351e+06	4.92108e+06	5.2354e+06	4.33818e+06	2.87159e+06
P36543	P36543	VATE1_HUMAN	ATP6V1E1	V-type proton ATPase subunit E 1	1.43187e+06	2.78048e+06	1.70089e+06	2.41131e+06	2.40047e+06	2.53168e+06	2.67898e+06	2.09285e+06	2.75818e+06	2.60317e+06	2.48818e+06	1.79072e+06
P36551	P36551;H0YA22	HEM6_HUMAN	CPOX	Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial											22417.1	
P36578	P36578;H3BU31;H3BM89	RL4_HUMAN	RPL4	60S ribosomal protein L4	3.35873e+06	2.84448e+06	3.47395e+06	2.33768e+06	2.56933e+06	2.5254e+06	2.77652e+06	4.10892e+06	2.27393e+06	2.57256e+06	2.48138e+06	3.04163e+06
P36639	P36639	8ODP_HUMAN	NUDT1	7,8-dihydro-8-oxoguanine triphosphatase	512908	335883	867361	324953	311710	218192	227259	596314	229321	250660	244969	532197
P36776	P36776;K7EJE8;K7EKE6;K7ER27	LONM_HUMAN	LONP1	Lon protease homolog, mitochondrial	534315	600156	593259	708699	708308	699537	722143	564638	642361	634611	631913	573298
P36871	P36871;A0A3B3ITK7	PGM1_HUMAN	PGM1	Phosphoglucomutase-1	1.21353e+06	1.43598e+06	1.41724e+06	1.50392e+06	1.47165e+06	1.42127e+06	1.36593e+06	1.42792e+06	1.62049e+06	1.57603e+06	1.50407e+06	1.43821e+06
P36894	P36894	BMR1A_HUMAN	BMPR1A	Bone morphogenetic protein receptor type-1A	28830.3	19200.1	12535.1			24887	17616.9	41107.1				40378.3
P36897	P36897;B4DY26	TGFR1_HUMAN	TGFBR1	TGF-beta receptor type-1	73944.5	87794.6	48124.7	79074.9	105040	77587.9	77964.8	118068	94073	102382	93642.9	128502
P36915	P36915;A0A140T8Y2	GNL1_HUMAN	GNL1	Guanine nucleotide-binding protein-like 1	1.11873e+06	1.2359e+06	1.42205e+06	1.324e+06	1.43095e+06	1.4097e+06	1.43146e+06	1.32626e+06	1.35948e+06	1.49516e+06	1.44567e+06	1.38092e+06
P36954	P36954;K7EKS1	RPB9_HUMAN	POLR2I	DNA-directed RNA polymerase II subunit RPB9	181550	94767.8	65195.8	49331.4	50242.5		47563.7	145459	33772.1		47072.5	52413.4
P36957	P36957;G3V3F0;G3V5M3;H0YJF9;Q86SW4	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial		36937.2	122017	36010.2	22743.6					30920.4		29137.7
P36959	P36959	GMPR1_HUMAN	GMPR	GMP reductase 1			38924.7	27810	28656.3		30413.7	23655.6	38657	36053.9	33692.7	27575.1
P36969	P36969;K7ERP4;K7EKX7;A0A087X247;A0A087WT12;A0A087X2I2;K7ENB4;R4GNE4;K7EJ20	GPX4_HUMAN	GPX4	Phospholipid hydroperoxide glutathione peroxidase	163092	182222	537384	219528	195868	199876	182332	189831	200951	187803	224103	178122
P37108	P37108;H0YLA2	SRP14_HUMAN	SRP14	Signal recognition particle 14 kDa protein	7.50426e+06	5.43319e+06	1.51187e+07	9.78092e+06	7.59005e+06	8.12175e+06	8.06824e+06	8.79321e+06	7.22039e+06	8.05931e+06	8.22746e+06	1.03616e+07
P37173	P37173	TGFR2_HUMAN	TGFBR2	TGF-beta receptor type-2	31838.8	44958.3	28384.1	30766.2	32455.8	41917.1	38743.7	34519.2	30801.7	18354.9		44981.9
P37198	P37198;M0QXN5	NUP62_HUMAN	NUP62	Nuclear pore glycoprotein p62	626139	659312	852618	568406	643462	572161	579131	698314	526424	558833	575699	772792
